Package,Version WAVES,requirement,channel
audioread,3.1.0,audioread=3.1.0,pypi
beiwe-forest,1.0,beiwe-forest=1.0,pypi
bzip2,1.0.8,bzip2=1.0.8,conda-forge
ca-certificates,2026.1.4,ca-certificates=2026.1.4,conda-forge
certifi,2026.1.4,certifi=2026.1.4,pypi
cffi,2.0.0,cffi=2.0.0,conda-forge
charset-normalizer,3.4.4,charset-normalizer=3.4.4,pypi
decorator,5.2.1,decorator=5.2.1,pypi
h3,4.4.1,h3=4.4.1,conda-forge
h3-py,4.4.1,h3-py=4.4.1,conda-forge
holidays,0.89,holidays=0.89,pypi
icu,78.2,icu=78.2,conda-forge
idna,3.11,idna=3.11,pypi
joblib,1.5.3,joblib=1.5.3,pypi
lazy-loader,0.4,lazy-loader=0.4,pypi
libblas,3.11.0,libblas=3.11.0,conda-forge
libcblas,3.11.0,libcblas=3.11.0,conda-forge
libexpat,2.7.3,libexpat=2.7.3,conda-forge
libffi,3.5.2,libffi=3.5.2,conda-forge
libhwloc,2.12.2,libhwloc=2.12.2,conda-forge
libiconv,1.18,libiconv=1.18,conda-forge
liblapack,3.11.0,liblapack=3.11.0,conda-forge
liblzma,5.8.2,liblzma=5.8.2,conda-forge
librosa,0.11.0,librosa=0.11.0,pypi
libsqlite,3.51.2,libsqlite=3.51.2,conda-forge
libwinpthread,12.0.0.r4.gg4f2fc60ca,libwinpthread=12.0.0.r4.gg4f2fc60ca,conda-forge
libxml2,2.15.1,libxml2=2.15.1,conda-forge
libxml2-16,2.15.1,libxml2-16=2.15.1,conda-forge
libzlib,1.3.1,libzlib=1.3.1,conda-forge
llvm-openmp,21.1.8,llvm-openmp=21.1.8,conda-forge
llvmlite,0.46.0,llvmlite=0.46.0,pypi
mkl,2025.3.0,mkl=2025.3.0,conda-forge
msgpack,1.1.2,msgpack=1.1.2,pypi
numba,0.63.1,numba=0.63.1,pypi
numpy,2.3.5,numpy=2.3.5,pypi
openrouteservice,2.3.3,openrouteservice=2.3.3,pypi
openssl,3.6.0,openssl=3.6.0,conda-forge
packaging,26.0,packaging=26.0,conda-forge
pandas,3.0.0,pandas=3.0.0,pypi
pip,25.3,pip=25.3,conda-forge
platformdirs,4.5.1,platformdirs=4.5.1,pypi
pooch,1.8.2,pooch=1.8.2,pypi
pycparser,2.22,pycparser=2.22,conda-forge
pyproj,3.7.2,pyproj=3.7.2,pypi
python,3.12.12,python=3.12.12,conda-forge
python-dateutil,2.9.0.post0,python-dateutil=2.9.0.post0,pypi
python-flatbuffers,25.9.23,python-flatbuffers=25.9.23,conda-forge
python_abi,3.12,python_abi=3.12,conda-forge
pytz,2025.2,pytz=2025.2,pypi
ratelimit,2.2.1,ratelimit=2.2.1,pypi
requests,2.32.5,requests=2.32.5,pypi
scikit-learn,1.8.0,scikit-learn=1.8.0,pypi
scipy,1.17.0,scipy=1.17.0,pypi
setuptools,80.10.1,setuptools=80.10.1,conda-forge
shapely,2.1.2,shapely=2.1.2,pypi
six,1.17.0,six=1.17.0,pypi
soundfile,0.13.1,soundfile=0.13.1,pypi
soxr,1.0.0,soxr=1.0.0,pypi
ssqueezepy,0.6.6,ssqueezepy=0.6.6,pypi
tbb,2022.3.0,tbb=2022.3.0,conda-forge
threadpoolctl,3.6.0,threadpoolctl=3.6.0,pypi
timezonefinder,8.1.0,timezonefinder=8.1.0,conda-forge
tk,8.6.13,tk=8.6.13,conda-forge
typing-extensions,4.15.0,typing-extensions=4.15.0,pypi
tzdata,2025.3,tzdata=2025.3,pypi
ucrt,10.0.26100.0,ucrt=10.0.26100.0,conda-forge
urllib3,2.6.3,urllib3=2.6.3,pypi
vc,14.3,vc=14.3,conda-forge
vc14_runtime,14.44.35208,vc14_runtime=14.44.35208,conda-forge
vcomp14,14.44.35208,vcomp14=14.44.35208,conda-forge
wheel,0.46.3,wheel=0.46.3,conda-forge
